brown-red brown-black cyan brown-red
brown-black orange-brown brown-gray blue
pink-red cyan-white orange-red cyan
red blue-black
blue-red brown-red red
gray-black red-gray gray-black gray-black
blue blue-gray gray-white gray-white red-white
red-white red-black white-black red-black white-black
gray-black black red yellow-white
pink-purple yellow-white black red-white
red-gray gray blue-black red blue-gray
blue-black gray-black white-black gray brown-red
red blue-gray brown-black
blue black black
yellow gray-black orange-white blue-black gray-black yellow gray-black
yellow-black brown-black gray-black blue-black yellow-white
cyan-green blue-gray red-black blue
orange-brown red-gray gray orange-white brown-gray gray red
blue-gray gray yellow-black gray-black
brown-black blue brown blue
blue-white blue
gray-black brown-black yellow-brown gray-black blue-white
gray-black gray
gray-black gray-black red black gray-black
red-white orange-brown brown-red orange-brown
gray-black red-white black
gray-black blue gray-black
brown-red gray-black gray-black gray-black gray-black
blue-black gray gray orange-white
green-black yellow-white gray-black gray-black gray-black
red-black red-black
red-white orange-white green red-white
blue-gray gray blue gray gray blue-black
black brown-red yellow-black gray-black gray-black
yellow gray-black yellow-black gray-black gray-black
white-black blue-gray orange-white
orange-white cyan-green cyan-white green-orange
blue-black gray-black black blue-black yellow-black
red red-black blue-black red-gray red-black red
brown-white yellow-orange gray-black gray-black brown-black
blue orange-white red-white
brown-red red-gray gray-black pink-brown
black brown-red blue-cyan
pink blue gray-black
gray-black blue-white gray
brown-black gray-black blue-white gray-black
red-black brown-red yellow-orange black brown-red
red-white orange-brown brown-red red-white
blue-black gray-white blue
blue-black blue brown-black blue black
red-white blue-gray red-gray pink-red yellow-orange
yellow-white gray-black blue-gray
brown-black red-white brown-black gray-white yellow black black
orange-white red-white cyan-black orange-red red brown-red cyan-black
blue-white white-black blue-white brown-red
gray-white gray-black green
red blue gray-black blue-black
gray red gray-black
pink-purple brown-red white
red-gray gray-white red-white red brown-red
gray-black gray-black brown-black
red-white orange-brown yellow-brown
brown-black blue blue-black blue-black
brown-black brown-gray brown-black black brown-black
gray red-gray pink
yellow-gray gray-black gray orange-white
red-white gray-black gray
red-white red-white red-white
cyan-gray gray-black orange-white green brown-black
orange-white red-white red-white pink-white brown-white
yellow-brown gray brown-gray red-white gray
orange-brown brown-red brown-gray brown-red brown-black
blue-white gray-white black black gray-black blue-gray
brown-black orange-gray red blue-black
red pink-gray gray-black
blue-black blue-black yellow-brown pink-red blue-black
red-white brown-red cyan-white
brown-black red brown-white gray-white
blue-white cyan-white red-white
yellow-brown yellow-brown purple-gray yellow-orange
gray-black black brown-red red-white
red-white orange-white blue-black orange-brown gray
blue-gray blue-black red yellow-brown blue-black
blue-white blue-cyan red-white
blue-orange gray-black brown-black green-black gray-black
red red gray blue-black
gray-black yellow-white yellow brown-red
red-white red-gray
cyan-white brown-black
orange-brown orange-red white-black orange-brown orange-white
blue gray-black blue blue gray gray
gray-white blue brown-red
brown-black brown-black black
gray-white red-white gray-white gray-white white
gray gray-black blue-black blue-black gray-black
blue-gray red red pink-red gray gray-black
blue-black red-white gray-black gray-black
orange-white gray-black blue-black
gray-black green-white gray-black brown-black
cyan gray brown-black
gray-black red-black black gray-black
gray cyan-green blue-white brown-black red-white
gray-black yellow-white gray-black
yellow-orange gray-black
blue-white gray-black red
cyan-black cyan-green red-gray white blue
brown-black red-white yellow-brown
gray-black gray-black gray-black blue
gray gray yellow-white purple-gray
gray-black red-white gray-black brown-red
blue-cyan gray-black
blue-black white-black cyan-white blue
brown-gray brown-black brown-white gray-black
orange gray-white red-black orange
blue-black black gray-black black
red-white brown-black gray-white gray-black
cyan black black
white-black red-white red white-black brown-gray brown
red-white gray-black red
blue-white brown-black red-black
cyan-white brown-red
brown-red blue-black gray-black red
gray-black brown-black gray-black cyan
gray-black blue-black cyan gray-black
cyan cyan-green cyan purple cyan-black
black pink-blue black blue-black
brown-red brown-red orange-white
brown brown-gray orange-brown
brown-black gray-black gray
blue-black red-gray gray-black black
yellow-brown brown-red yellow-white
red-white blue-black gray-black gray-black
orange-red purple-gray
brown-black gray-black brown-black purple
green-black red red blue
red gray-black blue-black red
gray-black pink-red gray-black blue
gray-black red-white red-white blue-black
yellow-orange red-black orange-brown blue-cyan
gray-black yellow-black orange-white blue
black cyan-white cyan-black
brown-black cyan-green gray-black gray-black black
pink gray-black gray-black
brown-white blue-white brown-red blue-black
red black black gray-black
pink-white brown-red green
red-white blue-cyan gray red-white
red-white brown-black brown-gray gray
blue-gray pink-purple blue-black
gray-white blue-gray white-black gray-black blue-gray
red-white cyan-black gray-black
green blue gray-black red-black
blue white-black blue-gray brown-red
red gray-white pink-white gray-white gray
red red-white red-white orange-brown
blue-black blue-black yellow-brown blue-black
orange-white gray-white red-black purple
yellow cyan-white gray yellow-white
blue-gray white-black brown-black cyan
blue cyan
gray-white red-white gray-white
blue blue-black red-white
blue-gray blue-black cyan cyan-gray
brown orange-brown brown gray-white
red-white blue-white blue-cyan
red pink-black red-black gray-black
black gray-black blue-black gray-black gray-black blue
yellow-white red-gray blue-gray
yellow brown-red blue-black blue-black blue-black
gray-black gray-black gray-black pink-white gray-black
red blue brown-gray yellow
red-white gray-black brown-red black
gray-black pink-white red-white red-white cyan-black yellow-brown
yellow-gray blue-black gray orange-brown gray gray-black gray-black
brown-red red pink-white red-black
gray-white yellow gray
blue-black black gray-black blue-gray
gray gray white
pink-red blue red-white gray-black gray-black
red-black brown-red brown-black red-black orange-brown
blue-white orange blue-black red red-gray
cyan-green blue-black
gray-black blue-white brown-black red
gray-black red gray-black orange-white red-black
red-white gray brown-black
yellow red
blue-white brown-red yellow-orange
red gray-black gray-black
purple-black red-white red-white orange-white brown-red
orange-white brown-red cyan orange-brown
red-gray orange-brown blue-gray
red-black brown-red pink-red red-black yellow
brown-white red-black black red-white
blue red orange-brown
white-black red red-white red
gray-black gray gray-black green-gray
gray-black blue-black pink cyan-white brown-red blue-black
white-black blue gray-white yellow
gray-black gray-black blue-black
white-black orange-red brown-black blue brown-black
gray-white red-white
red red-white red-black
brown-white orange-white red-white yellow-brown orange-white
cyan-black pink orange-brown cyan
white-black white-black gray
orange-brown orange-brown orange-brown brown
gray-black red pink red-black
red brown-black gray red
orange gray-black gray-black gray-black orange-white
gray-black red-white gray-white yellow-white
cyan white-black blue-cyan
gray-black gray-black gray-black gray-black pink-gray
blue-white brown-red gray-black
gray-black blue-cyan gray red-gray
yellow-white red cyan-white
yellow-orange blue-black gray-black blue-gray
cyan gray red
blue-white cyan-white white-black gray-white
orange-red cyan-black gray
red gray-black gray-black gray-black
red-white gray-black blue-gray blue-black gray-black
blue-white blue-gray blue-gray gray gray
blue-white orange-white orange-brown
blue-gray gray-black cyan-black gray-black gray-black
blue-gray red red
white-black black red-white gray-black black
yellow yellow blue-white red-white pink-black
orange-brown gray-black black gray-black
pink-red pink-red purple-black purple-blue
gray-black blue-black blue gray-black
red red-white red-white blue-black red-black
green-yellow red-black blue-cyan brown-black orange-red
gray-white gray red-white brown-gray
orange-brown blue red-white
orange-white brown-white red-white green-white
red-gray blue-cyan orange-brown
yellow-white white-black red-white blue-cyan brown-red
orange-brown red-black blue
purple-white brown pink-white gray-black
black red-black yellow-brown gray-black red
gray-black gray blue gray-black
blue-white blue-black blue-black brown-black pink-white
gray-white gray-white brown-white red-white
cyan-white red-white yellow-white
brown-red red gray-black brown-black
brown-black cyan-black gray
blue-gray green-white blue-black blue-white
pink-black yellow-white red-black red-black red
gray red-white orange-white gray brown-red
gray yellow-white blue-gray blue
gray-black gray-black yellow-white
red-black red red-white
black orange-brown orange-brown yellow-white
white-black blue blue brown-white
blue brown-red gray-black gray-black white-black
green-black cyan-brown gray-white orange-brown red-white
yellow red blue
black blue blue-black gray-black
black blue-gray
yellow-white brown-black
red-white cyan-white brown-gray
orange-white yellow-black blue orange-brown brown-black
black orange red-black red-black red-white
gray-black brown-gray gray-white yellow-black
blue-white orange-brown
red-black red-black red
cyan blue-black blue-gray
brown-black brown-black orange-brown blue-black blue-black blue-black black
purple-blue gray-black gray-black blue
yellow-orange gray-black gray-black gray-black gray-black
blue-black brown-gray gray
blue-black cyan-white black blue
gray-black gray-black gray-black red-white
blue yellow-brown blue
red yellow-brown pink-purple pink-purple
purple-black gray-black
black blue-black blue-gray brown
cyan-black pink-red red-gray cyan
orange-brown brown-red brown-black black orange-white
cyan-black blue brown-black pink-white
red red pink-purple brown-red cyan-black
pink gray-black red-black gray-black pink-red
blue-black pink-gray blue-gray cyan brown-red pink-white
brown-red brown-red red-gray brown-red gray
yellow-white yellow-black gray-black red-white
cyan-black purple-white orange-brown
red red-white white orange-brown
yellow-white red-white gray gray
blue gray-black red-black
brown-red red orange-brown brown-red cyan
red-black red-gray gray-black gray-black
red black red blue-black
blue-black brown blue-black brown-red orange-brown
cyan-red red yellow-orange
brown-red blue-white red-black orange
red gray gray
gray-black brown brown
blue-gray blue-black red-black blue
black gray-black brown-red
blue red-black brown-black pink-white
brown-gray blue gray-black red-black
white-black blue-black blue
gray red-gray red black
brown-black blue-gray red-white orange-brown
blue-white blue-black blue
gray-black blue-white blue-black red
black brown-black brown purple
orange-white yellow-brown white-black
pink gray orange-white
orange-brown red-white orange-brown
cyan-white red-black brown-black black
brown-red blue gray-black
brown-gray yellow blue-gray gray cyan
brown-black cyan-black gray-black white
red brown blue-gray red
gray yellow brown-black blue
purple-gray pink-red red-gray
orange-brown orange-brown orange-brown brown-red yellow-black
cyan gray-black blue-black red
